City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Byron Bay,AU,2022-08-15 23:44:10,-28.65,153.6167,63.72,43,0,7.16
146,Cesena,IT,2022-08-15 23:44:11,44.1391,12.2432,80.42,59,0,3.44
147,Teguldet,RU,2022-08-15 23:44:12,57.3064,88.1667,47.16,98,100,9.71
148,Deputatskiy,RU,2022-08-15 23:44:13,69.3,139.9,47.34,59,10,9.46
149,Saldanha,ZA,2022-08-15 23:44:13,-33.0117,17.9442,46.45,63,100,1.07
150,Lebu,CL,2022-08-15 23:44:14,-37.6167,-73.65,49.42,95,100,25.61
151,Saskylakh,RU,2022-08-15 23:44:14,71.9167,114.0833,49.89,79,17,7.25
152,Guerrero Negro,MX,2022-08-15 23:44:15,27.9769,-114.0611,79.16,58,24,17.31
153,Nanakuli,US,2022-08-15 23:44:15,21.3906,-158.1547,89.55,53,100,11.5
154,Hrubieszow,PL,2022-08-15 23:44:06,50.805,23.8925,64.51,76,98,5.64
155,Marihatag,PH,2022-08-15 23:44:16,8.7936,126.2969,82.13,76,45,3.56
156,Killybegs,IE,2022-08-15 23:44:17,54.6333,-8.45,57.34,78,42,14.16
157,Los Teques,VE,2022-08-15 23:44:17,10.3445,-67.0433,69.01,93,44,0.6
158,Jalu,LY,2022-08-15 23:44:18,29.0331,21.5482,82.98,41,2,7.49
159,Shirakawa,JP,2022-08-15 23:44:18,37.1223,140.2376,80.96,69,99,0.63
160,Kaitangata,NZ,2022-08-15 23:44:19,-46.2817,169.8464,52.57,62,97,2.82
161,Faya,SA,2022-08-15 23:44:19,18.3851,42.4509,68.11,78,90,6.24
162,Hithadhoo,MV,2022-08-15 23:44:20,-0.6,73.0833,82.6,74,9,10.25
163,Sinnar,SD,2022-08-15 23:44:21,13.5691,33.5672,76.71,81,100,5.3
164,Kifri,IQ,2022-08-15 23:44:21,34.6959,44.9661,89.15,20,0,12.93
165,Bin Qirdan,TN,2022-08-15 23:44:22,33.1378,11.2197,90.93,29,2,9.69
166,Mana,GF,2022-08-15 23:44:23,5.6592,-53.7767,77.79,81,8,5.39
167,Ribeira Grande,PT,2022-08-15 23:44:23,38.5167,-28.7,73.99,79,33,19.26
168,Nagato,JP,2022-08-15 23:44:24,34.3833,131.2,84.31,79,87,18.95
169,Talagang,PK,2022-08-15 23:44:24,32.9297,72.4158,79.81,76,8,3.67
170,Shelburne,CA,2022-08-15 23:44:25,44.0787,-80.2041,72.36,61,93,9.75
171,Samara,RU,2022-08-15 23:44:25,53.0,50.0,59.61,57,21,9.44
172,Bereda,ES,2022-08-15 23:44:26,43.2686,-7.5406,61.41,95,96,5.59
173,Manta,EC,2022-08-15 23:42:30,-0.95,-80.7333,78.58,73,40,12.66
174,Tselinnoye,RU,2022-08-15 23:44:27,53.0833,85.6667,54.54,65,91,2.08
175,Nikolskoye,RU,2022-08-15 23:44:27,59.7035,30.7861,69.87,69,52,4.34
176,Berlevag,NO,2022-08-15 23:44:27,70.8578,29.0864,55.2,87,100,4.61
177,Torbay,CA,2022-08-15 23:44:28,47.6666,-52.7314,68.58,85,75,11.5
178,Praia Da Vitoria,PT,2022-08-15 23:44:29,38.7333,-27.0667,71.85,73,75,15.12
179,Quelimane,MZ,2022-08-15 23:44:29,-17.8786,36.8883,71.55,94,40,1.14
180,Norman Wells,CA,2022-08-15 23:45:30,65.282,-126.8329,75.24,50,75,13.8
181,Ares,BR,2022-08-15 23:45:30,-6.1944,-35.1603,73.49,78,5,10.27
182,Aksarayskiy,RU,2022-08-15 23:45:31,46.7924,48.0119,78.93,26,75,12.39
183,Acapulco,MX,2022-08-15 23:42:35,16.8634,-99.8901,87.62,70,75,4.61
184,Chapeco,BR,2022-08-15 23:45:03,-27.0964,-52.6183,78.55,41,0,16.11
185,Sattur,IN,2022-08-15 23:45:32,9.3667,77.9333,81.55,66,97,4.68
186,Abapo,BO,2022-08-15 23:45:33,-18.8333,-63.4667,72.23,51,56,2.39
187,Tiksi,RU,2022-08-15 23:45:33,71.6872,128.8694,49.68,83,39,6.4
188,Bambous Virieux,MU,2022-08-15 23:45:34,-20.3428,57.7575,68.25,88,75,10.36
189,Seydi,TM,2022-08-15 23:45:34,39.4816,62.9137,81.84,22,0,11.25
190,Oktyabrskoye,RU,2022-08-15 23:45:35,43.0645,44.7417,68.14,94,0,4.47
191,Bodinayakkanur,IN,2022-08-15 23:45:35,10.0167,77.35,76.33,80,86,2.39
192,Lavrentiya,RU,2022-08-15 23:45:36,65.5833,-171.0,40.78,69,100,12.01
193,Khani,GE,2022-08-15 23:45:36,41.9563,42.9566,65.77,60,0,2.57
194,Isangel,VU,2022-08-15 23:45:36,-19.55,169.2667,79.48,79,97,20.09
195,Muros,ES,2022-08-15 23:45:37,42.7762,-9.0603,63.84,95,76,6.93
196,Hostotipaquillo,MX,2022-08-15 23:45:38,21.0667,-104.0667,69.04,92,100,4.68
197,Lima,PE,2022-08-15 23:44:34,-12.0432,-77.0282,64.9,75,100,14.97
198,Lubango,AO,2022-08-15 23:45:38,-14.9172,13.4925,58.32,30,0,3.4
199,Neuquen,AR,2022-08-15 23:45:39,-38.9516,-68.0591,51.69,32,0,20.71
200,Saint Anthony,US,2022-08-15 23:45:39,45.0205,-93.218,77.72,65,40,6.91
201,Ust-Nera,RU,2022-08-15 23:45:40,64.5667,143.2,63.66,61,87,3.42
202,Minbu,MM,2022-08-15 23:45:40,20.1833,94.8833,78.39,85,63,2.13
203,Saint George,US,2022-08-15 23:45:06,37.1041,-113.5841,91.99,31,0,23.02
