,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,La Ronge,CA,82.62,few clouds,55.1001,-105.2842,Northland Motor Hotel
341,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
342,Kerema,PG,77.63,overcast clouds,-7.9631,145.7785,Frena Lodge
343,Benjamin Hill,MX,76.33,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
346,Delijan,IR,77.52,scattered clouds,33.9905,50.6838,ایزوگام آسیاگستر
347,Mandalgovi,MN,63.52,clear sky,45.7625,106.2708,В.Ганбат
348,Ruwi,OM,89.29,broken clouds,23.5996,58.5507,Al Falaj Hotel
349,Yarmouth,US,78.91,clear sky,41.7057,-70.2286,Blue Rock Resort
351,Saint-Paul,RE,69.89,few clouds,-21.0096,55.2707,Boucan Canot
352,El Sauzal,MX,73.42,few clouds,31.9,-116.6833,Hotel Las Rosas & Spa
353,Dakar,SN,80.73,scattered clouds,14.6937,-17.4441,Novotel Dakar
359,Amargosa,BR,61.75,scattered clouds,-13.0303,-39.6047,Hotel Amargosa
360,Mezen,RU,61.54,clear sky,65.8522,44.24,Gostevoy Dom Everest
361,Fereydun Kenar,IR,79.99,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
363,Hutchinson,US,91.35,scattered clouds,38.0608,-97.9298,Hampton Inn Hutchinson
364,Gijon,ES,66.99,few clouds,43.5357,-5.6615,Hotel Norte
365,Antequera,ES,71.46,clear sky,37.0194,-4.5612,Convento de la Magdalena
367,Ugoofaaru,MV,81.48,overcast clouds,5.6667,73.0,Ungoofaaru Inn
368,Thompson,CA,78.96,few clouds,55.7435,-97.8558,Burntwood Hotel
371,Tautira,PF,76.98,overcast clouds,-17.7333,-149.15,Pension Oaoa
373,Saint-Francois,FR,63.84,broken clouds,46.4154,3.9054,Manoir Du Bonheur
376,Riohacha,CO,86.11,clear sky,11.5444,-72.9072,Hotel Taroa
377,Nongan,CN,64.24,clear sky,44.382,125.1685,Quanhu Resort
378,Atar,MR,82.92,light rain,20.5169,-13.0499,Oumou Elghoura
379,Fare,PF,78.87,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
383,Bolgatanga,GH,71.08,overcast clouds,10.7856,-0.8514,Mama's Place
385,Bandarbeyla,SO,76.62,broken clouds,9.4942,50.8122,JABIR HOTEL
386,Ardakan,IR,78.49,clear sky,32.31,54.0175,Ardakan Hotel
387,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
389,Isla Mujeres,MX,86.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
390,Hualmay,PE,61.83,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
391,Hervey Bay,AU,64.9,clear sky,-25.2986,152.8535,Shelly Bay Resort
392,Sinnamary,GF,80.69,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
393,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
394,Kilifi,KE,71.73,clear sky,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
396,Olkusz,PL,70.59,overcast clouds,50.2813,19.565,Hotel Victoria
397,Steamboat Springs,US,73.0,clear sky,40.485,-106.8317,Steamboat Grand
398,Marawi,PH,74.77,broken clouds,7.9986,124.2928,Derogongan Residence
399,Margate,GB,62.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
400,Dekernes,EG,72.34,clear sky,31.0876,31.595,زكريا عبد الفتاح سليم
401,Jiaxing,CN,85.98,overcast clouds,30.7522,120.75,嘉兴富悦大酒店
402,Amli,IN,75.76,overcast clouds,20.2833,73.0167,Hotel Soubhagya Inn
405,Westbury,US,83.05,clear sky,40.7557,-73.5876,Hilton Garden Inn Westbury
406,Seoul,KR,83.59,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
408,Tehachapi,US,98.33,clear sky,35.1322,-118.449,"Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St., an IHG Hotel"
409,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
410,Kutum,SD,68.47,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
412,Basco,PH,84.52,clear sky,20.4487,121.9702,Nathaniel's Lodge
413,Ketchikan,US,70.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
414,Ilukste,LV,61.23,broken clouds,55.9775,26.2966,"Glenda , viesu nams"
417,Berezovka,BY,60.84,broken clouds,53.7214,25.4993,Nad Nemanom Usad'ba
418,Keuruu,FI,71.78,overcast clouds,62.2667,24.7,Hostelli Nonna
419,Hamirpur,IN,82.4,overcast clouds,25.95,80.15,Bundalkhand kurara transport company
421,Pringsewu,ID,74.62,overcast clouds,-5.3582,104.9744,Urban Style by Front One
422,Sakaide,JP,86.54,broken clouds,34.3167,133.85,HOTEL MYTH-W （ホテル マイス ダブリュー）
424,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
425,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
426,Saint Anthony,US,72.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
429,Half Moon Bay,US,86.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
430,Kapit,MY,75.79,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
432,Kalmunai,LK,78.69,overcast clouds,7.4167,81.8167,VS Villa
434,Ahipara,NZ,63.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
435,Nanakuli,US,87.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
436,Rio De Janeiro,BR,65.95,overcast clouds,-22.9028,-43.2075,Hotel cruz de ouro
437,Xining,CN,60.03,scattered clouds,36.6167,101.7667,Super Leisure Hotel
438,Palu,ID,79.38,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
441,Bundaberg,AU,68.22,clear sky,-24.85,152.35,Takalvan Motel
443,Banda Aceh,ID,80.01,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
444,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
445,Suoyarvi,RU,62.98,clear sky,62.0833,32.35,Mini-Hotel Comfort
446,Carutapera,BR,79.92,broken clouds,-1.195,-46.02,Lidera
447,Tecoanapa,MX,82.29,overcast clouds,16.5167,-98.75,Hotel Manglares
448,Pedernales,DO,84.38,few clouds,18.0384,-71.744,Hotel Costa Marina
450,Alenquer,BR,84.36,broken clouds,-1.9417,-54.7383,Detinha Hotel
451,Muli,MV,81.3,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
452,Muros,ES,66.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
453,Coos Bay,US,72.32,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
455,Benguela,AO,68.67,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
456,Phetchaburi,TH,76.89,overcast clouds,12.9667,99.5833,บ้านไร่ ท้ายเขื่อน แคมป์วิว เขื่อนแก่งกระจาน
458,Luau,AO,65.82,clear sky,-10.7073,22.2247,Kimbo Hotel
459,Rodnykove,UA,68.13,clear sky,45.043,33.9541,otel Space
460,Kimbe,PG,84.42,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
461,Pilani,IN,84.36,overcast clouds,28.3684,75.6041,Hotel Poornima Lodge
462,Uromi,NG,68.38,overcast clouds,6.7,6.3333,Royal Motel
463,Carlagan,PH,82.85,broken clouds,14.975,122.0456,Cabatagan Island
465,Wadi Musa,JO,70.59,clear sky,30.3222,35.4793,Petra Palace Hotel
466,Fort Nelson,CA,83.79,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
468,Pokaran,IN,80.26,broken clouds,26.9167,71.9167,Motel Pokaran - RTDC
469,Matagami,CA,71.71,overcast clouds,49.7502,-77.6328,Motel Le Caribou
470,Bani,DO,81.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
474,Caravelas,BR,71.44,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
475,Yarada,IN,77.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
476,Majene,ID,78.98,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
477,Emerald,AU,65.34,scattered clouds,-23.5333,148.1667,The Irish Village
478,Daru,PG,77.54,overcast clouds,-9.0763,143.2092,Daru Lodge
479,San Cristobal,VE,78.98,clear sky,7.7669,-72.225,Pirineos
480,Kilindoni,TZ,74.66,clear sky,-7.9139,39.6668,Bustani B&B
483,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
