,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Thinadhoo,MV,0.5333,72.9333,81.64,74,100,6.29,moderate rain
181,Port Hedland,AU,-20.3167,118.5667,60.85,31,0,9.22,clear sky
182,Gamba,GA,-2.65,10.0,71.47,91,38,7.09,scattered clouds
183,Ponta Do Sol,PT,32.6667,-17.1,70.43,74,9,4.41,clear sky
184,Hithadhoo,MV,-0.6,73.0833,80.73,77,100,9.48,overcast clouds
185,Fairbanks,US,64.8378,-147.7164,63.61,67,40,3.44,scattered clouds
186,Tiksi,RU,71.6872,128.8694,42.76,90,100,10.47,overcast clouds
187,Hami,CN,42.8,93.45,75.02,21,0,11.88,clear sky
188,Karratha,AU,-20.7377,116.8463,67.93,23,1,21.14,clear sky
189,Saldanha,ZA,-33.0117,17.9442,53.65,77,100,16.44,light rain
190,San Marcos,US,33.1434,-117.1661,92.53,65,0,11.5,clear sky
191,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,92,8.01,overcast clouds
192,Wang Saphung,TH,17.301,101.7685,77.02,100,100,2.3,moderate rain
193,Ikom,NG,5.9667,8.7063,71.15,99,98,2.26,overcast clouds
194,Susanville,US,40.4163,-120.653,93.04,21,0,6.91,clear sky
195,Tabuk,PH,17.4189,121.4443,79.34,83,43,3.02,scattered clouds
196,Viedma,AR,-40.8135,-62.9967,56.91,35,24,10.76,few clouds
197,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,17.27,few clouds
198,Gushikawa,JP,26.3544,127.8686,87.03,75,0,10.36,clear sky
199,Paamiut,GL,61.994,-49.6678,42.51,92,100,4.61,moderate rain
200,Waingapu,ID,-9.6567,120.2641,79.07,56,3,15.26,clear sky
201,Birao,CF,10.2849,22.7882,71.56,95,100,3.58,overcast clouds
202,Yumen,CN,40.2833,97.2,73.99,25,65,2.19,broken clouds
203,Gizo,SB,-8.103,156.8419,83.25,74,50,14.63,scattered clouds
204,Hinganghat,IN,20.5667,78.8333,76.59,88,100,10.51,overcast clouds
205,Methoni,GR,36.8197,21.7049,83.21,72,0,9.48,clear sky
206,Mocuba,MZ,-16.8392,36.9856,69.78,49,1,4.34,clear sky
207,Marrakesh,MA,31.6315,-8.0083,87.87,30,40,5.75,scattered clouds
208,Quatre Cocos,MU,-20.2078,57.7625,71.71,76,32,16.08,scattered clouds
209,Egvekinot,RU,66.3167,-179.1667,41.09,61,83,2.35,broken clouds
210,Nanortalik,GL,60.1432,-45.2371,44.11,64,58,7.96,broken clouds
211,Namibe,AO,-15.1961,12.1522,59.95,78,8,9.04,clear sky
212,Katangli,RU,51.7102,143.2326,53.31,97,100,21.94,overcast clouds
213,Cidreira,BR,-30.1811,-50.2056,47.95,64,5,2.28,clear sky
214,Hobyo,SO,5.3505,48.5268,76.33,87,97,24.34,overcast clouds
215,Coahuayana,MX,18.7333,-103.6833,85.28,70,22,4.83,few clouds
216,Maribo,DK,54.7766,11.5002,64.94,94,90,8.01,overcast clouds
217,Xunchang,CN,28.4543,104.715,78.87,89,98,1.9,overcast clouds
218,Kasongo-Lunda,CD,-6.4667,16.8167,80.42,39,66,4.76,broken clouds
219,Valparaiso,CL,-33.0393,-71.6273,56.84,77,0,5.75,clear sky
220,Armstrong,AR,-32.7822,-61.6022,47.03,39,0,8.57,clear sky
221,Haines Junction,CA,60.7522,-137.5108,64.35,45,53,8.05,broken clouds
222,Airai,TL,-8.9266,125.4092,63.46,39,25,4.56,scattered clouds
223,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,82,45,5.73,scattered clouds
224,Gulu,UG,2.7746,32.299,63.9,99,91,4.7,light rain
225,Takaka,NZ,-40.85,172.8,61.75,82,71,7.34,broken clouds
226,Manavgat,TR,36.7867,31.4431,80.38,64,1,2.71,clear sky
227,Longyearbyen,SJ,78.2186,15.6401,37.22,93,100,10.74,light rain
228,Bilma,NE,18.6853,12.9164,90.73,37,12,6.62,few clouds
229,Valley City,US,46.9233,-98.0032,77.52,69,20,18.41,few clouds
230,Istok,XK,42.7808,20.4875,71.55,53,31,3.27,scattered clouds
231,Kintinku,TZ,-5.8833,35.2333,68.52,42,2,2.75,clear sky
232,Wanxian,CN,30.8039,108.3897,89.56,61,93,3.13,overcast clouds
233,Bosaso,SO,11.2842,49.1816,90.95,36,10,20.22,clear sky
234,Cabo San Lucas,MX,22.8909,-109.9124,89.62,71,99,9.8,overcast clouds
235,Inuvik,CA,68.3499,-133.7218,52.56,81,75,9.22,broken clouds
236,Pangnirtung,CA,66.1451,-65.7125,44.04,83,68,2.35,broken clouds
237,Gemena,CD,3.25,19.7667,68.97,99,83,3.06,light rain
238,Bredasdorp,ZA,-34.5322,20.0403,52.47,62,83,23.4,broken clouds
239,Sao Filipe,CV,14.8961,-24.4956,77.43,82,85,6.11,overcast clouds
240,Whitstable,GB,51.3607,1.0257,64.31,69,16,3.0,few clouds
241,Nicoya,CR,10.1483,-85.452,77.7,84,62,3.24,broken clouds
242,Sparti,GR,37.0733,22.4297,79.95,44,0,1.88,clear sky
243,Ayacucho,PE,-13.1583,-74.2239,67.86,37,0,9.22,clear sky
244,Iquitos,PE,-3.7481,-73.2472,73.44,100,100,3.44,thunderstorm with light rain
245,Lorengau,PG,-2.0226,147.2712,83.17,70,43,8.1,scattered clouds
246,Bilibino,RU,68.0546,166.4372,59.2,37,0,4.16,clear sky
247,Turukhansk,RU,65.8167,87.9833,52.27,69,100,11.83,overcast clouds
248,Mayumba,GA,-3.432,10.6554,71.08,95,53,5.53,broken clouds
249,Port Keats,AU,-14.25,129.55,75.96,32,0,12.53,clear sky
250,Mont-Dore,NC,-22.2833,166.5833,73.38,99,15,8.14,few clouds
251,Yarovoye,RU,52.9273,78.58,50.56,88,100,6.06,overcast clouds
252,Labuhan,ID,-6.8844,112.2051,76.23,74,31,9.95,scattered clouds
253,Jalu,LY,29.0331,21.5482,81.66,50,0,7.74,clear sky
254,Belaya Rechka,RU,43.4381,43.535,70.23,60,75,4.47,broken clouds
255,Tucuma,BR,-0.1833,-50.05,76.82,91,95,7.76,overcast clouds
256,Artigas,UY,-30.4,-56.4667,43.52,59,0,3.87,clear sky
257,Lavrentiya,RU,65.5833,-171.0,44.17,85,100,4.99,overcast clouds
258,Yellowknife,CA,62.456,-114.3525,77.52,33,20,9.22,smoke
259,Abnub,EG,27.2696,31.1511,82.62,23,0,4.83,clear sky
260,Okha,RU,53.5739,142.9478,54.21,96,100,21.88,moderate rain
261,Geraldton,AU,-28.7667,114.6,52.21,82,0,13.8,clear sky
262,Pemangkat,ID,1.1667,108.9667,79.09,85,94,4.92,overcast clouds
263,Tasiilaq,GL,65.6145,-37.6368,44.76,72,6,0.11,clear sky
264,Puerto Leguizamo,CO,-0.1934,-74.7819,72.37,96,81,1.16,broken clouds
265,Koudougou,BF,12.25,-2.3667,71.35,87,100,3.8,overcast clouds
266,San Quintin,MX,30.4833,-115.95,73.0,74,31,12.93,scattered clouds
267,Jieshi,CN,22.8134,115.8257,83.35,78,20,14.25,few clouds
268,Mugur-Aksy,RU,50.35,90.5,31.62,87,100,5.44,overcast clouds
269,Ancud,CL,-41.8697,-73.8203,48.27,95,100,4.99,overcast clouds
270,Karonga,MW,-9.9333,33.9333,70.93,62,8,4.47,clear sky
271,Cururupu,BR,-1.8283,-44.8683,76.28,87,93,4.7,overcast clouds
272,Vorukh,TJ,39.8494,70.5838,64.47,40,0,4.38,clear sky
273,Sakakah,SA,29.9697,40.2064,92.77,17,2,9.64,clear sky
274,Severo-Kurilsk,RU,50.6789,156.125,54.52,95,100,24.32,overcast clouds
275,Roald,NO,62.5833,6.1333,62.17,100,75,9.22,broken clouds
276,Lodja,CD,-3.4833,23.4333,72.88,63,63,2.24,broken clouds
277,Berlevag,NO,70.8578,29.0864,64.35,77,75,13.8,broken clouds
278,Puerto Maldonado,PE,-12.6,-69.1833,59.4,72,0,2.3,clear sky
279,Tuatapere,NZ,-46.1333,167.6833,56.75,55,44,5.06,scattered clouds
280,Kabalo,CD,-6.05,26.9167,80.13,31,7,2.42,clear sky
281,Winnemucca,US,40.973,-117.7357,87.85,20,20,10.36,few clouds
282,Kavieng,PG,-2.5744,150.7967,83.93,68,64,12.28,broken clouds
283,Faya,SA,18.3851,42.4509,64.51,70,50,5.19,scattered clouds
284,Hay River,CA,60.8156,-115.7999,75.18,43,75,8.05,broken clouds
285,Campbell River,CA,50.0163,-125.2446,82.6,78,75,4.61,thunderstorm with light rain
286,Noumea,NC,-22.2763,166.4572,73.38,99,15,9.46,few clouds
287,Lebu,CL,-37.6167,-73.65,50.38,93,72,16.96,broken clouds
288,Kirakira,SB,-10.4544,161.9205,84.18,72,72,12.1,broken clouds
289,Diffa,NE,13.3154,12.6113,75.99,77,90,6.46,overcast clouds
290,Torbay,CA,47.6666,-52.7314,67.57,86,75,18.41,broken clouds
291,Pahrump,US,36.2083,-115.9839,101.44,21,4,1.01,clear sky
292,Sorong,ID,-0.8833,131.25,78.96,84,30,10.31,scattered clouds
293,Katsuura,JP,35.1333,140.3,78.82,81,100,8.77,overcast clouds
294,Mitsamiouli,KM,-11.3847,43.2844,74.62,80,11,12.12,light rain
295,San Andres,CO,12.5847,-81.7006,84.22,79,40,8.05,scattered clouds
296,Requena,ES,39.4883,-1.1004,65.79,84,0,1.99,clear sky
297,Martapura,ID,-3.4167,114.85,75.29,94,20,4.61,few clouds
298,Vardo,NO,70.3705,31.1107,55.67,96,81,10.65,broken clouds
299,Sobolevo,RU,54.4299,31.8996,62.4,88,100,13.24,overcast clouds
300,Misratah,LY,32.3754,15.0925,82.26,77,1,16.6,clear sky
301,Erdenet,MN,49.0333,104.0833,48.69,92,100,3.47,light rain
302,Lodwar,KE,3.1191,35.5973,83.16,37,87,5.03,overcast clouds
303,Beyneu,KZ,45.3167,55.2,70.41,21,77,21.18,broken clouds
304,Kieta,PG,-6.2167,155.6333,84.87,64,4,7.29,clear sky
305,Vila Velha,BR,-20.3297,-40.2925,67.95,85,100,25.32,overcast clouds
306,Rock Sound,BS,24.9,-76.2,84.49,76,18,13.62,few clouds
307,Olinda,BR,-8.0089,-34.8553,74.93,73,100,4.61,overcast clouds
308,Lar,IN,26.2039,83.9717,79.79,89,99,5.66,overcast clouds
309,Nizwa,OM,22.9333,57.5333,88.02,48,27,3.24,scattered clouds
310,Amapa,BR,1.0,-52.0,70.92,98,96,3.27,overcast clouds
311,Shahreza,IR,32.0339,51.8794,67.64,18,2,2.68,clear sky
312,Sembakung,ID,3.8167,117.25,77.2,95,68,1.68,light rain
313,Elk City,US,35.412,-99.4043,93.18,24,0,8.05,clear sky
314,Mikhaylovka,RU,50.06,43.2379,64.78,45,94,21.3,overcast clouds
315,Southampton,GB,50.904,-1.4043,61.02,71,0,7.34,clear sky
316,Senador Jose Porfirio,BR,-2.5908,-51.9542,81.88,64,79,2.68,broken clouds
317,Vilyuysk,RU,63.7553,121.6247,45.1,96,100,6.98,light rain
318,Naze,JP,28.3667,129.4833,85.12,79,100,15.03,overcast clouds
319,Mareeba,AU,-17.0,145.4333,72.48,70,1,4.63,clear sky
320,Andrushivka,UA,50.0229,29.0202,61.0,89,74,5.46,broken clouds
321,Pisco,PE,-13.7,-76.2167,60.85,82,20,5.75,few clouds
322,Wete,TZ,-5.0559,39.7294,70.54,88,5,5.32,clear sky
323,Palana,RU,59.1167,159.9667,59.74,72,100,16.49,overcast clouds
324,Bairiki,KI,1.3292,172.9752,80.49,75,6,5.55,clear sky
325,Mount Isa,AU,-20.7333,139.5,62.37,29,2,16.11,clear sky
326,Strezhevoy,RU,60.7333,77.5889,46.87,90,79,5.79,broken clouds
327,Trnava,SK,48.3774,17.5872,69.58,75,100,4.52,overcast clouds
328,Pampierstad,ZA,-27.7832,24.6877,43.03,58,0,5.12,clear sky
329,Lake Havasu City,US,34.4839,-114.3224,106.23,27,0,6.91,clear sky
330,Dikson,RU,73.5069,80.5464,39.97,83,100,24.43,overcast clouds
331,Galle,LK,6.0367,80.217,78.06,88,100,11.54,overcast clouds
332,Coihaique,CL,-45.5752,-72.0662,48.15,71,75,10.36,broken clouds
333,Karoi,ZW,-16.8099,29.6925,63.88,26,3,7.67,clear sky
334,Zheshart,RU,62.0731,49.5733,56.7,72,5,4.88,clear sky
335,Ostrovnoy,RU,68.0531,39.5131,64.11,75,97,20.8,overcast clouds
336,Kishtwar,IN,33.3167,75.7667,67.15,92,69,0.98,broken clouds
337,Yerofey Pavlovich,RU,53.9667,121.9667,53.11,91,100,2.35,overcast clouds
338,Atherton,GB,53.5237,-2.4935,60.35,78,14,1.01,few clouds
339,Atambua,ID,-9.1061,124.8925,74.35,52,8,5.06,clear sky
340,La Ronge,CA,55.1001,-105.2842,82.62,39,20,9.22,few clouds
341,Cayenne,GF,4.9333,-52.3333,78.84,83,0,3.44,clear sky
342,Kerema,PG,-7.9631,145.7785,77.63,74,96,3.67,overcast clouds
343,Benjamin Hill,MX,30.1667,-111.1,76.33,76,98,9.4,overcast clouds
344,Chipinge,ZW,-20.1883,32.6236,56.19,53,20,3.27,few clouds
345,Aksarka,RU,66.5606,67.7975,45.48,72,51,13.65,broken clouds
346,Delijan,IR,33.9905,50.6838,77.52,14,31,3.47,scattered clouds
347,Mandalgovi,MN,45.7625,106.2708,63.52,34,0,6.76,clear sky
348,Ruwi,OM,23.5996,58.5507,89.29,71,81,8.77,broken clouds
